ue,latitude,longitude,timestamp
202010000000001,38.015716,23.792048,2024-02-06 08:11:30.611843
202010000000001,38.015634,23.792003,2024-02-06 08:11:31.616035
202010000000001,38.015551,23.791958,2024-02-06 08:11:32.635941
202010000000001,38.015468,23.791913,2024-02-06 08:11:33.639988
202010000000001,38.015386,23.791868,2024-02-06 08:11:34.644145
202010000000001,38.015303,23.791824,2024-02-06 08:11:35.648332
202010000000001,38.01522,23.791779,2024-02-06 08:11:36.653586
202010000000001,38.015137,23.791734,2024-02-06 08:11:37.658340
202010000000001,38.015055,23.791689,2024-02-06 08:11:38.661713
202010000000001,38.014972,23.791644,2024-02-06 08:11:39.665106
202010000000001,38.014889,23.791599,2024-02-06 08:11:40.670013
202010000000001,38.014807,23.791555,2024-02-06 08:11:41.675091
202010000000001,38.014724,23.79151,2024-02-06 08:11:42.680524
202010000000001,38.014641,23.791465,2024-02-06 08:11:43.684267
202010000000001,38.014559,23.79142,2024-02-06 08:11:44.688787
202010000000001,38.014476,23.791375,2024-02-06 08:11:45.694274
202010000000001,38.014393,23.79133,2024-02-06 08:11:46.698632
202010000000001,38.01431,23.791286,2024-02-06 08:11:47.704047
202010000000001,38.014228,23.791241,2024-02-06 08:11:48.709637
202010000000001,38.014145,23.791196,2024-02-06 08:11:49.714113
202010000000001,38.014062,23.791151,2024-02-06 08:11:50.717983
202010000000001,38.01398,23.791106,2024-02-06 08:11:51.721450
202010000000001,38.013897,23.791061,2024-02-06 08:11:52.841621
202010000000001,38.013814,23.791017,2024-02-06 08:11:53.853373
202010000000001,38.013731,23.790972,2024-02-06 08:11:54.856419
202010000000001,38.013649,23.790927,2024-02-06 08:11:55.861386
202010000000001,38.013566,23.790882,2024-02-06 08:11:56.865820
202010000000001,38.013483,23.790837,2024-02-06 08:11:57.871168
202010000000001,38.013401,23.790792,2024-02-06 08:11:58.876455
202010000000001,38.013318,23.790748,2024-02-06 08:11:59.882900
202010000000001,38.013235,23.790703,2024-02-06 08:12:00.885689
202010000000001,38.013153,23.790658,2024-02-06 08:12:01.888530
202010000000001,38.01307,23.790613,2024-02-06 08:12:02.892649
202010000000001,38.012987,23.790568,2024-02-06 08:12:03.909530
202010000000001,38.012904,23.790523,2024-02-06 08:12:04.915259
202010000000001,38.012822,23.790479,2024-02-06 08:12:05.920312
202010000000001,38.012739,23.790434,2024-02-06 08:12:06.922688
202010000000001,38.012656,23.790389,2024-02-06 08:12:07.928191
202010000000001,38.012574,23.790344,2024-02-06 08:12:08.931616
